Status,Life expectancy ,Adult Mortality,Hepatitis B, BMI ,Polio,Diphtheria , thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
0.0,74.2,99.0,98.0,5.8,97.0,97.0,1.7,1.8,0.696,11.4
0.0,73.5,15.0,98.0,49.9,97.0,98.0,1.8,1.8,0.685,10.8
0.0,73.0,17.0,99.0,48.9,98.0,97.0,1.8,1.9,0.681,10.9
0.0,72.8,18.0,97.0,47.9,97.0,97.0,1.9,2.0,0.674,10.7
0.0,73.3,15.0,96.0,46.9,98.0,98.0,2.0,2.1,0.67,10.7
0.0,73.6,14.0,96.0,46.0,97.0,97.0,2.1,2.1,0.662,10.6
0.0,72.6,11.0,96.0,45.0,97.0,97.0,2.1,2.2,0.656,10.7
0.0,75.6,19.0,95.0,59.5,95.0,95.0,6.0,5.8,0.743,14.4
0.0,75.4,11.0,95.0,58.4,95.0,95.0,6.0,5.8,0.741,14.4
0.0,75.3,112.0,95.0,57.2,95.0,95.0,5.9,5.8,0.737,14.4
0.0,75.1,113.0,95.0,56.1,95.0,95.0,5.9,5.8,0.732,14.4
0.0,74.9,116.0,95.0,55.0,95.0,95.0,5.9,5.8,0.724,14.0
0.0,74.7,119.0,95.0,53.9,95.0,95.0,5.9,5.8,0.714,13.6
0.0,74.4,123.0,94.0,52.8,94.0,95.0,6.0,5.9,0.705,13.1
0.0,74.1,126.0,91.0,51.8,92.0,93.0,6.0,5.9,0.697,12.6
0.0,73.8,129.0,9.0,5.8,95.0,95.0,6.0,5.9,0.69,12.3
0.0,73.4,132.0,8.0,49.8,95.0,95.0,6.1,6.0,0.686,12.3
0.0,72.9,136.0,83.0,48.9,88.0,88.0,6.1,6.0,0.68,12.0
0.0,72.3,14.0,81.0,47.9,86.0,86.0,6.2,6.1,0.673,11.7
0.0,52.4,335.0,64.0,23.3,7.0,64.0,8.3,8.2,0.531,11.4
0.0,51.7,348.0,64.0,22.7,68.0,64.0,8.5,8.3,0.527,11.4
0.0,51.1,355.0,77.0,22.1,67.0,77.0,8.6,8.5,0.523,11.4
0.0,56.0,358.0,75.0,21.5,75.0,75.0,8.8,8.6,0.508,10.3
0.0,51.0,361.0,72.0,21.0,73.0,71.0,8.9,8.8,0.495,9.4
0.0,49.6,365.0,77.0,2.4,81.0,77.0,9.1,9.0,0.488,9.0
0.0,49.1,369.0,61.0,19.8,63.0,6.0,9.3,9.2,0.48,8.5
0.0,48.7,371.0,69.0,19.3,65.0,69.0,9.5,9.4,0.468,8.1
0.0,48.2,375.0,73.0,18.8,75.0,73.0,9.6,9.6,0.454,7.7
0.0,76.4,13.0,99.0,47.7,86.0,99.0,3.3,3.3,0.784,13.9
0.0,76.2,131.0,99.0,47.0,96.0,99.0,3.3,3.3,0.782,13.9
0.0,76.1,133.0,99.0,46.4,98.0,99.0,3.3,3.3,0.781,13.9
0.0,75.9,134.0,98.0,45.7,97.0,98.0,3.3,3.3,0.778,13.8
0.0,75.7,136.0,99.0,45.1,99.0,99.0,3.3,3.3,0.782,14.1
0.0,75.6,138.0,98.0,44.4,99.0,98.0,3.3,3.3,0.783,14.1
0.0,75.4,14.0,98.0,43.8,98.0,99.0,3.4,3.3,0.788,14.2
0.0,75.2,142.0,98.0,43.2,99.0,99.0,3.4,3.3,0.786,14.4
0.0,75.0,144.0,97.0,42.6,98.0,99.0,3.4,3.3,0.781,14.5
0.0,74.8,145.0,99.0,42.0,99.0,99.0,3.4,3.4,0.773,14.7
0.0,74.6,147.0,99.0,41.4,98.0,99.0,3.5,3.4,0.0,0.0
0.0,74.4,149.0,97.0,4.8,97.0,97.0,3.5,3.4,0.0,0.0
0.0,74.2,151.0,99.0,4.1,99.0,99.0,3.5,3.5,0.0,0.0
0.0,74.0,153.0,99.0,39.5,93.0,98.0,3.6,3.5,0.0,0.0
0.0,73.8,154.0,96.0,38.9,99.0,97.0,3.6,3.5,0.0,0.0
0.0,76.3,116.0,94.0,62.8,93.0,94.0,1.0,0.9,0.826,17.3
0.0,76.2,118.0,94.0,62.2,92.0,94.0,1.0,0.9,0.825,17.3
0.0,76.0,119.0,94.0,61.6,99.0,94.0,1.0,0.9,0.823,17.3
0.0,75.9,12.0,91.0,61.0,99.0,91.0,1.0,0.9,0.822,17.2
0.0,75.7,12.0,91.0,6.4,93.0,91.0,1.0,0.9,0.816,17.1
0.0,75.5,121.0,94.0,59.8,95.0,94.0,1.0,0.9,0.802,16.8
0.0,75.6,126.0,94.0,59.2,97.0,94.0,1.0,0.9,0.794,16.5
0.0,75.4,126.0,9.0,58.6,94.0,93.0,1.0,0.9,0.792,16.3
0.0,74.8,129.0,85.0,58.0,92.0,91.0,1.1,0.9,0.788,16.3
0.0,75.2,127.0,84.0,57.5,92.0,91.0,1.1,0.9,0.782,16.1
0.0,74.9,127.0,88.0,56.9,95.0,98.0,1.1,1.0,0.78,16.3
0.0,74.7,13.0,81.0,56.3,91.0,98.0,1.1,1.0,0.775,16.3
0.0,74.1,137.0,73.0,55.7,95.0,96.0,1.2,1.0,0.77,16.4
0.0,74.1,138.0,66.0,55.1,94.0,93.0,1.2,1.0,0.776,16.3
0.0,74.8,118.0,94.0,54.9,96.0,94.0,2.1,2.2,0.741,12.7
0.0,74.6,12.0,93.0,54.1,95.0,93.0,2.1,2.1,0.739,12.7
0.0,74.4,123.0,95.0,53.3,96.0,95.0,2.1,2.1,0.736,12.7
0.0,74.4,121.0,95.0,52.6,96.0,95.0,2.0,2.1,0.732,12.7
0.0,73.9,128.0,95.0,51.9,96.0,95.0,2.0,2.1,0.729,12.7
0.0,73.5,132.0,94.0,51.2,96.0,94.0,2.0,2.1,0.72,12.3
0.0,73.3,137.0,93.0,5.7,94.0,93.0,2.0,2.1,0.725,11.9
0.0,73.2,14.0,89.0,5.1,91.0,89.0,2.0,2.1,0.721,12.3
0.0,73.5,132.0,85.0,49.7,9.0,88.0,2.0,2.1,0.707,11.7
0.0,72.9,141.0,78.0,49.2,87.0,87.0,2.0,2.1,0.692,11.2
0.0,73.0,137.0,91.0,48.8,92.0,9.0,2.0,2.1,0.679,10.9
0.0,73.0,132.0,91.0,48.4,93.0,91.0,2.0,2.1,0.668,10.9
0.0,72.7,134.0,93.0,48.1,96.0,94.0,2.0,2.1,0.657,10.8
0.0,72.6,134.0,91.0,47.8,96.0,94.0,2.1,2.1,0.645,10.8
0.0,72.6,141.0,69.0,47.4,97.0,94.0,2.1,2.1,0.644,11.1
0.0,72.0,142.0,55.0,47.1,96.0,93.0,2.1,2.2,0.639,11.2
1.0,82.8,59.0,93.0,66.6,93.0,93.0,0.6,0.6,0.937,20.4
1.0,82.7,6.0,91.0,66.1,92.0,92.0,0.6,0.6,0.936,20.4
1.0,82.5,61.0,91.0,65.5,91.0,91.0,0.6,0.6,0.933,20.3
1.0,82.3,61.0,91.0,65.0,92.0,92.0,0.6,0.6,0.93,20.1
1.0,82.0,63.0,92.0,64.4,92.0,92.0,0.6,0.6,0.927,19.8
1.0,81.9,64.0,92.0,63.9,92.0,92.0,0.7,0.6,0.927,19.5
1.0,81.7,66.0,94.0,63.4,92.0,92.0,0.7,0.6,0.925,19.1
1.0,81.3,66.0,94.0,62.9,92.0,92.0,0.7,0.6,0.921,19.1
1.0,81.3,66.0,94.0,62.5,92.0,92.0,0.7,0.6,0.918,19.0
1.0,81.2,66.0,95.0,62.0,92.0,92.0,0.7,0.6,0.915,20.3
1.0,81.0,67.0,95.0,61.5,92.0,92.0,0.7,0.6,0.91,20.3
1.0,86.0,69.0,95.0,6.9,92.0,92.0,0.7,0.6,0.908,20.7
1.0,83.0,71.0,95.0,6.3,92.0,93.0,0.7,0.7,0.905,20.6
1.0,79.9,73.0,95.0,59.6,92.0,92.0,0.7,0.7,0.902,20.1
1.0,79.9,75.0,94.0,59.0,91.0,92.0,0.7,0.7,0.899,20.5
1.0,81.5,65.0,93.0,57.6,93.0,93.0,1.9,2.1,0.892,15.9
1.0,81.4,66.0,98.0,57.1,98.0,98.0,1.8,2.0,0.892,15.9
1.0,81.1,68.0,95.0,56.6,95.0,95.0,1.8,2.0,0.887,15.7
1.0,88.0,7.0,92.0,56.1,92.0,92.0,1.8,2.0,0.884,15.7
1.0,88.0,73.0,89.0,55.7,89.0,89.0,1.7,2.0,0.88,15.7
1.0,84.0,75.0,86.0,55.2,86.0,86.0,1.7,1.9,0.872,15.4
1.0,82.0,77.0,83.0,54.7,83.0,83.0,1.7,1.9,0.87,15.3
1.0,84.0,76.0,83.0,54.2,83.0,83.0,1.7,1.9,0.864,15.1
1.0,81.0,8.0,85.0,53.7,85.0,85.0,1.7,1.9,0.86,15.2
1.0,79.8,81.0,83.0,53.2,83.0,83.0,1.7,1.9,0.854,15.0
1.0,79.4,85.0,86.0,52.7,86.0,86.0,1.7,1.9,0.848,14.9
1.0,79.3,86.0,83.0,52.2,83.0,83.0,1.7,1.9,0.841,14.7
1.0,78.8,88.0,83.0,51.7,84.0,84.0,1.7,1.9,0.837,14.7
1.0,78.7,9.0,81.0,51.2,82.0,83.0,1.7,1.9,0.847,16.1
1.0,78.6,92.0,44.0,5.6,83.0,84.0,1.7,1.9,0.837,15.5
1.0,78.1,96.0,33.0,5.1,71.0,81.0,1.7,1.9,0.833,15.4
0.0,72.7,118.0,96.0,52.5,98.0,96.0,2.8,2.9,0.758,12.7
0.0,72.5,119.0,94.0,51.5,97.0,94.0,2.8,2.9,0.752,12.2
0.0,72.2,121.0,93.0,5.6,96.0,93.0,2.8,2.8,0.745,11.9
0.0,71.9,123.0,88.0,49.7,92.0,89.0,2.8,2.8,0.742,11.8
0.0,71.6,125.0,84.0,48.8,91.0,87.0,2.8,2.9,0.741,11.7
0.0,71.1,13.0,8.0,48.0,85.0,81.0,2.8,2.9,0.737,11.7
0.0,78.0,132.0,74.0,47.3,84.0,81.0,2.8,2.9,0.728,11.6
0.0,73.0,141.0,68.0,46.6,85.0,81.0,2.8,2.9,0.719,11.6
0.0,73.0,14.0,62.0,45.9,81.0,79.0,2.8,2.9,0.708,11.6
0.0,69.2,154.0,52.0,45.3,8.0,78.0,2.9,2.9,0.682,10.7
0.0,68.4,162.0,49.0,44.7,79.0,75.0,2.9,3.0,0.675,11.2
0.0,68.4,154.0,5.0,44.2,78.0,77.0,3.0,3.0,0.668,11.0
0.0,67.8,154.0,51.0,43.6,79.0,77.0,3.0,3.0,0.659,10.8
0.0,67.8,146.0,5.0,43.1,8.0,76.0,3.1,3.1,0.651,10.6
0.0,76.1,147.0,95.0,64.5,95.0,95.0,2.5,2.5,0.79,12.6
0.0,75.4,16.0,96.0,63.8,96.0,96.0,2.5,2.5,0.789,12.6
0.0,74.8,172.0,97.0,63.2,97.0,97.0,2.5,2.5,0.79,12.6
0.0,74.9,167.0,96.0,62.6,99.0,98.0,2.5,2.5,0.789,12.6
0.0,75.0,162.0,95.0,62.0,97.0,98.0,2.5,2.5,0.788,12.6
0.0,75.0,161.0,98.0,61.3,97.0,99.0,2.5,2.5,0.788,12.6
0.0,74.6,168.0,95.0,6.7,97.0,96.0,2.5,2.5,0.791,12.6
0.0,74.5,167.0,9.0,6.1,93.0,93.0,2.5,2.5,0.791,12.6
0.0,74.4,167.0,93.0,59.4,95.0,95.0,2.5,2.5,0.79,12.5
0.0,74.2,171.0,96.0,58.7,94.0,95.0,2.5,2.5,0.788,12.4
0.0,74.1,172.0,93.0,58.1,93.0,93.0,2.6,2.5,0.786,12.4
0.0,73.8,174.0,93.0,57.4,92.0,93.0,2.6,2.5,0.784,12.3
0.0,73.2,189.0,88.0,56.7,93.0,92.0,2.6,2.5,0.783,12.2
0.0,73.1,19.0,89.0,56.0,93.0,94.0,2.6,2.6,0.781,12.1
0.0,72.9,189.0,21.0,55.2,98.0,99.0,2.7,2.6,0.779,12.1
0.0,76.9,69.0,98.0,63.6,98.0,98.0,6.2,6.1,0.823,14.5
0.0,76.8,7.0,98.0,62.9,98.0,98.0,6.1,6.0,0.82,14.5
0.0,76.7,7.0,99.0,62.2,99.0,99.0,6.1,6.0,0.815,14.5
0.0,76.5,71.0,99.0,61.5,99.0,99.0,6.1,6.0,0.812,14.5
0.0,76.1,76.0,99.0,6.8,99.0,99.0,6.1,6.0,0.812,14.4
0.0,76.1,73.0,99.0,6.1,99.0,99.0,6.0,5.9,0.81,14.4
0.0,76.0,74.0,98.0,59.3,97.0,98.0,6.0,5.9,0.814,14.4
0.0,75.8,76.0,97.0,58.5,97.0,97.0,6.0,5.9,0.815,14.4
0.0,75.6,77.0,97.0,57.6,97.0,97.0,6.1,5.9,0.813,14.4
0.0,75.5,79.0,98.0,56.8,98.0,98.0,6.1,5.9,0.81,14.2
0.0,75.3,81.0,98.0,56.1,98.0,98.0,6.1,5.9,0.806,14.0
0.0,75.2,83.0,98.0,55.6,98.0,98.0,6.1,5.9,0.803,13.9
0.0,75.0,85.0,98.0,55.2,97.0,97.0,6.1,5.9,0.798,13.7
0.0,74.9,87.0,98.0,55.0,98.0,98.0,6.2,5.9,0.796,13.5
0.0,74.7,9.0,99.0,54.8,99.0,99.0,6.2,6.0,0.794,13.3
0.0,74.5,92.0,97.0,54.5,97.0,97.0,6.2,6.0,0.786,13.2
0.0,71.8,129.0,97.0,18.3,97.0,97.0,17.9,18.3,0.575,10.2
0.0,71.4,132.0,97.0,17.7,97.0,97.0,18.1,18.6,0.57,10.0
0.0,71.0,135.0,96.0,17.0,96.0,96.0,18.3,18.8,0.565,10.0
0.0,77.0,137.0,94.0,16.4,94.0,94.0,18.5,19.0,0.557,9.9
0.0,73.0,14.0,96.0,15.8,96.0,96.0,18.7,19.2,0.545,9.4
0.0,69.9,142.0,94.0,15.2,94.0,94.0,18.9,19.4,0.535,8.9
0.0,69.5,144.0,97.0,14.6,97.0,97.0,19.1,19.7,0.523,8.4
0.0,69.1,147.0,96.0,14.0,96.0,96.0,19.3,19.9,0.52,8.6
0.0,68.6,151.0,95.0,13.5,96.0,94.0,19.5,2.1,0.513,8.6
0.0,68.2,152.0,86.0,13.0,95.0,94.0,19.7,2.3,0.506,8.4
0.0,67.8,155.0,45.0,12.5,94.0,93.0,19.9,2.5,0.499,8.2
0.0,67.3,158.0,11.0,12.0,88.0,99.0,2.1,2.7,0.491,8.1
0.0,66.8,161.0,5.0,11.6,9.0,87.0,2.3,2.9,0.484,7.9
0.0,75.5,98.0,97.0,54.5,97.0,97.0,3.8,3.7,0.794,15.3
0.0,75.4,1.0,94.0,53.7,95.0,94.0,3.8,3.7,0.793,15.3
0.0,75.2,11.0,91.0,53.0,91.0,91.0,3.8,3.8,0.792,15.3
0.0,75.1,12.0,87.0,52.2,88.0,87.0,3.8,3.8,0.785,15.3
0.0,74.9,14.0,91.0,51.4,91.0,91.0,3.8,3.8,0.78,15.5
0.0,74.7,16.0,86.0,5.7,9.0,86.0,3.8,3.8,0.781,15.8
0.0,74.6,19.0,93.0,49.9,93.0,93.0,3.8,3.8,0.779,15.5
0.0,74.4,111.0,85.0,49.2,85.0,85.0,3.9,3.9,0.775,15.3
0.0,74.2,113.0,93.0,48.4,93.0,93.0,3.9,3.9,0.771,15.0
0.0,74.1,115.0,84.0,47.7,85.0,84.0,4.0,3.9,0.766,14.8
0.0,73.9,117.0,92.0,46.9,91.0,92.0,4.0,4.0,0.761,14.6
0.0,73.8,119.0,93.0,46.2,93.0,93.0,4.1,4.0,0.757,14.4
0.0,73.7,121.0,91.0,45.4,9.0,89.0,4.1,4.1,0.753,14.2
0.0,73.5,123.0,66.0,44.6,86.0,87.0,4.2,4.1,0.749,14.0
0.0,73.4,125.0,18.0,43.8,93.0,84.0,4.2,4.2,0.75,14.0
0.0,72.3,196.0,99.0,62.3,99.0,99.0,1.9,2.0,0.798,15.6
0.0,72.0,199.0,97.0,61.7,97.0,97.0,1.9,2.0,0.796,15.7
0.0,71.7,23.0,98.0,61.1,98.0,98.0,2.0,2.0,0.796,15.7
0.0,71.9,194.0,97.0,6.5,98.0,98.0,2.0,2.1,0.793,15.6
0.0,72.0,232.0,98.0,59.9,98.0,98.0,2.0,2.1,0.787,15.5
0.0,73.0,222.0,96.0,59.3,99.0,98.0,2.0,2.2,0.78,15.5
0.0,70.0,226.0,98.0,58.7,98.0,96.0,2.1,2.2,0.771,15.4
0.0,70.0,224.0,98.0,58.2,98.0,97.0,2.1,2.3,0.755,15.1
0.0,69.8,226.0,91.0,57.7,9.0,95.0,2.2,2.3,0.739,14.9
0.0,68.9,243.0,98.0,57.2,97.0,99.0,2.2,2.4,0.723,14.6
0.0,68.1,252.0,99.0,56.7,98.0,99.0,2.3,2.5,0.713,14.4
0.0,68.2,247.0,99.0,56.2,99.0,99.0,2.4,2.5,0.703,14.1
0.0,67.7,253.0,56.0,55.8,53.0,5.0,2.5,2.6,0.695,13.9
0.0,67.2,262.0,99.0,55.3,99.0,99.0,2.5,2.7,0.687,13.6
0.0,67.7,254.0,93.0,54.9,99.0,99.0,2.6,2.7,0.681,13.3
0.0,68.0,247.0,7.0,54.4,99.0,99.0,2.7,2.8,0.675,13.1
1.0,81.1,74.0,98.0,63.7,99.0,99.0,1.0,1.0,0.895,16.6
1.0,89.0,76.0,98.0,63.4,99.0,99.0,1.0,1.0,0.89,16.3
1.0,87.0,77.0,98.0,63.0,99.0,99.0,1.0,0.9,0.889,16.3
1.0,83.0,78.0,98.0,62.6,99.0,99.0,0.9,0.9,0.886,16.2
1.0,83.0,8.0,97.0,62.3,98.0,98.0,0.9,0.9,0.884,16.1
1.0,80.0,81.0,97.0,61.9,98.0,98.0,0.9,0.9,0.878,15.9
1.0,79.8,85.0,97.0,61.6,98.0,98.0,0.9,0.9,0.876,15.8
1.0,79.5,87.0,98.0,61.3,99.0,99.0,0.8,0.8,0.874,15.8
1.0,79.5,86.0,94.0,6.9,99.0,98.0,0.8,0.8,0.871,15.8
1.0,79.4,85.0,94.0,6.6,99.0,98.0,0.8,0.8,0.865,15.7
1.0,78.9,89.0,77.0,6.2,97.0,97.0,0.8,0.8,0.861,15.7
1.0,78.8,91.0,64.0,59.8,96.0,95.0,0.8,0.8,0.88,18.8
1.0,78.3,95.0,64.0,59.4,96.0,95.0,0.8,0.8,0.878,18.6
1.0,78.0,99.0,6.0,59.0,96.0,95.0,0.8,0.8,0.875,18.8
1.0,78.0,1.0,6.0,58.5,96.0,95.0,0.8,0.8,0.873,18.2
1.0,77.6,11.0,6.0,58.1,96.0,95.0,0.8,0.8,0.869,18.0
0.0,71.0,175.0,94.0,5.9,94.0,94.0,3.5,3.4,0.706,12.8
0.0,70.0,177.0,95.0,5.1,95.0,95.0,3.4,3.4,0.705,12.8
0.0,69.8,18.0,95.0,49.3,95.0,95.0,3.4,3.4,0.706,12.9
0.0,69.4,189.0,98.0,48.5,98.0,98.0,3.5,3.4,0.702,12.5
0.0,69.4,188.0,95.0,47.8,95.0,95.0,3.5,3.4,0.7,12.4
0.0,69.5,186.0,96.0,47.0,96.0,96.0,3.5,3.4,0.7,12.4
0.0,69.5,184.0,97.0,46.3,98.0,97.0,3.5,3.4,0.7,12.7
0.0,69.6,181.0,94.0,45.7,94.0,94.0,3.5,3.4,0.699,12.8
0.0,69.6,181.0,96.0,45.0,97.0,96.0,3.5,3.5,0.7,12.8
0.0,69.4,184.0,98.0,44.4,98.0,98.0,3.6,3.5,0.692,12.3
0.0,69.0,191.0,96.0,43.8,96.0,96.0,3.6,3.5,0.695,12.8
0.0,68.7,197.0,97.0,43.2,97.0,97.0,3.6,3.5,0.691,12.5
0.0,68.4,21.0,96.0,42.6,95.0,96.0,3.6,3.6,0.684,12.2
0.0,68.5,199.0,97.0,42.0,93.0,89.0,3.7,3.6,0.678,11.9
0.0,68.2,21.0,96.0,41.4,96.0,96.0,3.7,3.7,0.677,11.8
0.0,68.3,196.0,76.0,4.8,91.0,91.0,3.8,3.7,0.668,11.7
0.0,60.0,249.0,82.0,25.7,78.0,82.0,6.9,6.8,0.481,10.7
0.0,59.7,252.0,78.0,25.2,74.0,78.0,7.1,6.9,0.475,10.7
0.0,59.5,251.0,77.0,24.6,73.0,77.0,7.2,7.1,0.466,10.3
0.0,59.3,251.0,8.0,24.1,8.0,8.0,7.4,7.3,0.458,10.0
0.0,59.1,251.0,75.0,23.5,77.0,75.0,7.6,7.5,0.454,9.8
0.0,58.7,254.0,76.0,23.0,77.0,76.0,7.8,7.6,0.451,9.5
0.0,58.4,259.0,79.0,22.5,8.0,79.0,7.9,7.8,0.448,9.3
0.0,57.6,278.0,75.0,22.0,77.0,75.0,8.1,8.0,0.444,9.1
0.0,57.1,283.0,82.0,21.5,82.0,82.0,8.3,8.2,0.438,8.9
0.0,56.8,284.0,74.0,21.0,76.0,74.0,8.5,8.4,0.434,8.7
0.0,56.5,285.0,7.0,2.5,73.0,7.0,8.7,8.6,0.43,8.5
0.0,56.1,285.0,75.0,2.1,74.0,72.0,8.9,8.8,0.423,8.1
0.0,55.8,285.0,73.0,19.7,75.0,73.0,9.1,9.0,0.416,7.7
0.0,55.6,283.0,15.0,19.2,76.0,75.0,9.3,9.2,0.407,7.3
0.0,69.8,211.0,99.0,24.5,98.0,99.0,15.4,16.0,0.604,12.5
0.0,69.4,216.0,99.0,23.6,98.0,99.0,15.7,16.2,0.596,12.5
0.0,69.1,219.0,97.0,22.7,97.0,97.0,15.9,16.5,0.589,12.6
0.0,68.7,223.0,97.0,21.9,97.0,97.0,16.1,16.7,0.581,12.3
0.0,68.3,225.0,95.0,21.1,95.0,95.0,16.3,17.0,0.572,11.9
0.0,67.9,228.0,91.0,2.3,92.0,91.0,16.6,17.3,0.0,11.4
0.0,67.4,232.0,93.0,19.5,93.0,93.0,16.8,17.5,0.0,10.9
0.0,67.0,234.0,96.0,18.8,96.0,96.0,17.1,17.8,0.0,10.5
0.0,66.5,238.0,95.0,18.0,93.0,95.0,17.3,18.1,0.0,10.1
0.0,65.8,245.0,95.0,17.4,96.0,95.0,17.5,18.3,0.0,9.6
0.0,65.0,254.0,95.0,16.7,95.0,95.0,17.8,18.6,0.0,9.2
0.0,64.2,263.0,89.0,16.1,9.0,89.0,18.0,18.8,0.0,8.8
0.0,63.3,273.0,95.0,15.5,96.0,95.0,18.3,19.1,0.0,8.4
0.0,62.5,282.0,83.0,14.9,89.0,86.0,18.6,19.4,0.0,8.0
0.0,61.7,29.0,89.0,14.4,88.0,88.0,18.9,19.6,0.0,7.6
0.0,62.0,312.0,98.0,13.9,98.0,92.0,19.2,19.9,0.0,7.3
0.0,77.0,186.0,99.0,52.6,99.0,99.0,1.2,1.1,0.671,13.8
0.0,74.0,189.0,98.0,51.9,99.0,98.0,1.2,1.1,0.666,13.8
0.0,71.0,192.0,94.0,51.2,95.0,94.0,1.2,1.1,0.661,13.8
0.0,69.8,194.0,93.0,5.6,93.0,93.0,1.2,1.1,0.655,13.8
0.0,69.3,198.0,95.0,49.9,95.0,95.0,1.2,1.1,0.649,13.8
0.0,68.7,22.0,91.0,49.3,9.0,91.0,1.2,1.1,0.643,13.8
0.0,68.0,27.0,93.0,48.6,92.0,93.0,1.2,1.1,0.636,13.8
0.0,67.4,211.0,88.0,48.0,87.0,88.0,1.3,1.1,0.632,14.0
0.0,66.8,216.0,84.0,47.3,85.0,84.0,1.3,1.2,0.626,14.1
0.0,66.2,219.0,83.0,46.7,82.0,83.0,1.3,1.2,0.625,14.3
0.0,65.7,222.0,85.0,46.0,84.0,85.0,1.3,1.2,0.622,14.4
0.0,65.1,226.0,84.0,45.4,84.0,84.0,1.4,1.2,0.62,14.6
0.0,64.5,23.0,8.0,44.7,82.0,88.0,1.4,1.3,0.617,14.4
0.0,63.9,234.0,77.0,44.0,76.0,77.0,1.4,1.3,0.61,14.0
0.0,63.3,238.0,77.0,43.3,71.0,71.0,1.5,1.4,0.607,13.7
0.0,62.6,243.0,77.0,42.6,74.0,75.0,1.5,1.4,0.6,13.3
0.0,77.4,88.0,82.0,55.8,74.0,82.0,2.3,2.3,0.747,14.2
0.0,77.2,89.0,89.0,55.3,86.0,86.0,2.4,2.4,0.742,14.2
0.0,77.0,9.0,91.0,54.7,87.0,89.0,2.4,2.4,0.735,14.2
0.0,76.8,92.0,92.0,54.2,87.0,92.0,2.5,2.5,0.728,13.9
0.0,76.9,92.0,88.0,53.7,89.0,88.0,2.6,2.5,0.711,13.4
0.0,76.4,94.0,89.0,53.1,9.0,89.0,2.6,2.6,0.717,13.3
0.0,76.1,97.0,9.0,52.6,9.0,9.0,2.7,2.7,0.716,13.3
0.0,76.0,98.0,88.0,52.1,92.0,91.0,2.8,2.7,0.71,13.1
0.0,75.4,16.0,94.0,51.5,95.0,95.0,2.8,2.8,0.703,12.9
0.0,75.7,1.0,9.0,51.0,91.0,87.0,2.9,2.8,0.697,12.7
0.0,75.0,12.0,93.0,5.5,95.0,93.0,2.9,2.9,0.0,12.5
0.0,75.5,99.0,36.0,49.9,87.0,84.0,3.0,3.0,0.0,12.3
0.0,65.7,256.0,95.0,37.9,96.0,95.0,6.4,6.1,0.698,12.6
0.0,65.1,268.0,95.0,37.3,96.0,95.0,6.7,6.4,0.697,12.6
0.0,64.2,286.0,95.0,36.8,96.0,95.0,7.0,6.7,0.693,12.6
0.0,63.4,3.0,95.0,36.2,96.0,95.0,7.3,7.0,0.687,12.5
0.0,62.2,325.0,95.0,35.7,96.0,95.0,7.7,7.4,0.678,12.4
0.0,61.1,349.0,95.0,35.2,96.0,95.0,8.0,7.8,0.669,12.3
