,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
55,6,99,0.0,4,7,91.0
56,2,54,1.0,9,5,33.0
57,2,70,1.0,5,8,47.0
58,4,98,0.0,6,0,78.0
59,8,48,0.0,6,0,38.0
60,7,82,1.0,8,4,70.0
61,9,97,1.0,8,5,98.0
62,8,92,1.0,4,7,87.0
63,5,64,1.0,6,2,49.0
64,2,64,1.0,6,5,41.0
65,5,88,0.0,5,2,71.0
66,8,60,0.0,4,7,54.0
67,9,48,0.0,4,3,42.0
68,9,94,0.0,9,1,91.0
69,1,87,1.0,8,8,61.0
70,9,77,0.0,9,9,74.0
71,7,61,1.0,4,7,54.0
72,9,82,1.0,5,5,81.0
73,8,62,1.0,4,2,52.0
74,1,88,1.0,9,1,65.0
75,8,43,1.0,7,3,36.0
76,8,68,0.0,7,3,61.0
77,3,54,1.0,5,0,35.0
78,1,40,1.0,8,8,15.0
79,8,93,1.0,6,9,88.0
80,3,69,0.0,4,7,45.0
81,3,68,1.0,9,6,49.0
82,1,59,1.0,8,5,33.0
83,5,72,1.0,9,2,60.0
84,7,80,0.0,8,3,71.0
85,9,83,1.0,4,1,81.0
86,7,75,0.0,6,6,67.0
87,9,99,0.0,4,1,95.0
88,8,61,1.0,6,9,58.0
89,2,52,0.0,9,0,29.0
90,1,46,0.0,5,5,21.0
91,7,47,1.0,6,3,38.0
92,7,67,1.0,8,7,60.0
93,8,84,1.0,5,0,76.0
94,5,82,1.0,9,8,69.0
95,3,48,0.0,7,5,30.0
96,8,64,0.0,5,1,57.0
97,6,95,1.0,6,7,81.0
98,3,55,1.0,5,4,36.0
99,1,49,1.0,9,4,25.0
100,3,50,0.0,5,4,27.0
101,5,70,1.0,9,6,61.0
102,3,51,0.0,7,6,34.0
103,1,99,0.0,6,9,76.0
104,5,70,0.0,8,6,57.0
105,7,53,0.0,5,9,45.0
106,7,90,1.0,4,1,76.0
107,9,83,1.0,8,7,83.0
108,3,71,1.0,5,0,50.0
109,7,89,0.0,8,1,81.0
110,1,92,0.0,4,6,66.0
111,4,56,1.0,8,3,38.0
112,4,74,0.0,8,9,56.0
113,5,40,0.0,4,9,25.0
114,7,68,0.0,4,8,56.0
115,7,90,1.0,4,8,82.0
116,4,43,1.0,7,2,23.0
117,7,62,1.0,9,2,56.0
118,3,67,0.0,9,8,46.0
119,6,55,1.0,4,9,43.0
120,2,51,1.0,9,7,30.0
121,9,92,1.0,8,0,92.0
122,5,60,0.0,4,5,45.0
123,6,84,0.0,5,6,70.0
124,4,56,0.0,4,7,36.0
125,7,79,0.0,4,1,71.0
126,9,52,0.0,9,0,49.0
127,7,91,1.0,6,3,82.0
128,1,97,1.0,8,0,71.0
129,1,71,0.0,9,1,43.0
130,9,76,0.0,8,2,77.0
131,9,89,1.0,5,3,86.0
132,4,54,0.0,7,5,34.0
133,9,51,0.0,6,7,49.0
134,3,88,0.0,5,8,69.0
135,7,96,0.0,5,3,84.0
136,6,54,0.0,8,0,41.0
137,8,73,1.0,6,4,68.0
138,9,45,1.0,8,4,44.0
139,5,56,0.0,7,8,41.0
140,1,87,0.0,8,5,58.0
141,3,88,1.0,4,4,68.0
142,8,96,0.0,8,9,94.0
143,6,59,1.0,4,9,47.0
144,8,48,0.0,5,4,40.0
145,9,98,1.0,7,7,100.0
146,4,44,1.0,9,0,23.0
147,1,62,0.0,4,4,36.0
148,1,72,0.0,7,0,47.0
149,4,77,1.0,8,6,60.0
150,7,95,0.0,9,6,83.0
151,2,53,1.0,8,9,33.0
152,3,56,0.0,5,7,36.0
153,1,96,0.0,8,6,74.0
154,5,58,0.0,4,8,42.0
155,1,72,1.0,5,7,47.0
156,8,40,1.0,7,7,31.0
157,1,52,0.0,5,2,26.0
158,1,85,1.0,7,9,58.0
159,2,66,0.0,6,3,42.0
160,2,45,1.0,4,3,18.0
161,6,98,0.0,4,0,85.0
162,7,45,1.0,7,5,36.0
163,5,72,1.0,8,1,58.0
164,1,69,1.0,9,8,45.0
165,1,85,1.0,8,0,60.0
166,3,74,1.0,6,0,56.0
167,2,62,1.0,7,9,42.0
168,5,49,0.0,6,5,33.0
169,6,90,0.0,7,0,77.0
170,7,58,1.0,6,2,51.0
171,4,90,0.0,7,9,72.0
172,7,67,1.0,4,1,57.0
173,8,62,0.0,6,8,53.0
174,1,43,0.0,6,4,16.0
175,6,59,0.0,7,5,45.0
176,8,58,0.0,5,1,49.0
177,5,81,1.0,5,7,67.0
178,4,66,0.0,4,5,49.0
179,2,96,0.0,8,7,73.0
180,6,73,0.0,8,7,65.0
181,6,43,1.0,4,0,27.0
182,1,95,0.0,8,6,72.0
183,9,77,1.0,9,1,74.0
184,6,46,1.0,9,7,38.0
185,3,87,0.0,9,1,67.0
186,4,46,1.0,9,3,28.0
187,4,89,0.0,7,1,73.0
188,3,91,0.0,5,6,72.0
189,3,65,0.0,4,4,42.0
190,3,65,0.0,7,8,47.0
191,4,93,0.0,9,4,77.0
192,7,58,0.0,4,7,49.0
193,4,48,0.0,5,1,30.0
194,9,59,1.0,8,2,54.0
195,1,81,1.0,7,5,56.0
196,8,84,0.0,5,6,75.0
197,7,89,0.0,4,9,78.0
198,2,55,1.0,6,7,32.0
199,8,93,0.0,7,2,89.0
200,1,56,1.0,4,6,29.0
201,9,61,1.0,4,7,57.0
202,9,52,0.0,5,9,48.0
203,2,51,0.0,4,5,27.0
204,7,49,1.0,7,3,38.0
205,3,40,1.0,9,5,18.0
206,7,71,0.0,7,8,66.0
207,9,69,0.0,4,2,65.0
208,4,47,1.0,5,1,27.0
209,1,60,1.0,7,4,33.0
210,2,61,1.0,6,6,37.0
211,1,57,0.0,9,2,29.0
212,5,41,0.0,8,4,26.0
213,5,87,0.0,5,3,72.0
214,7,83,1.0,5,6,77.0
215,9,48,1.0,8,1,45.0
216,9,42,0.0,8,6,41.0
217,3,93,1.0,7,1,73.0
218,3,65,1.0,4,2,43.0
219,3,60,1.0,4,4,39.0
220,4,69,1.0,6,6,54.0
221,8,67,1.0,9,5,62.0
222,6,75,0.0,4,6,63.0
223,8,65,0.0,6,5,59.0
224,1,73,0.0,6,0,46.0
225,8,47,0.0,5,4,42.0
226,4,49,0.0,5,0,30.0
227,1,87,1.0,9,6,63.0
228,8,94,1.0,7,3,89.0
229,4,82,1.0,8,4,62.0
230,6,89,0.0,8,0,77.0
231,8,93,1.0,9,7,88.0
232,4,53,1.0,6,3,35.0
233,3,79,1.0,9,2,60.0
234,9,94,0.0,8,0,92.0
235,3,54,1.0,6,3,38.0
236,9,56,1.0,8,2,56.0
237,2,92,0.0,7,7,70.0
238,2,57,0.0,5,8,35.0
239,2,71,1.0,5,4,47.0
240,6,77,0.0,6,8,66.0
241,3,62,1.0,9,0,43.0
242,9,85,0.0,8,6,81.0
243,4,62,1.0,4,6,43.0
244,1,74,1.0,7,5,46.0
245,4,78,0.0,8,3,61.0
246,1,54,0.0,4,8,27.0
247,5,92,0.0,7,2,77.0
248,4,63,0.0,7,0,43.0
249,8,67,1.0,5,1,60.0
250,8,55,0.0,6,2,48.0
251,7,55,1.0,8,1,47.0
252,3,79,1.0,7,5,60.0
253,1,78,1.0,8,6,53.0
254,1,45,0.0,7,4,19.0
255,3,41,1.0,9,4,23.0
256,6,93,1.0,5,6,81.0
257,7,52,0.0,6,5,41.0
258,6,83,1.0,4,7,71.0
259,6,86,1.0,4,8,75.0
260,6,98,1.0,9,1,89.0
261,3,48,0.0,5,1,28.0
262,6,73,1.0,7,0,60.0
263,8,56,1.0,5,6,54.0
264,2,66,1.0,6,3,41.0
265,5,68,0.0,4,8,52.0
266,1,76,0.0,8,5,53.0
267,1,82,0.0,4,6,52.0
268,5,61,1.0,6,6,47.0
269,3,90,1.0,7,7,71.0
270,4,63,1.0,5,3,42.0
271,3,46,1.0,4,2,21.0
272,1,73,1.0,4,2,48.0
273,1,87,0.0,8,9,64.0
274,5,51,1.0,5,7,38.0
275,6,62,1.0,8,2,49.0
276,3,54,0.0,8,7,35.0
277,9,72,0.0,7,1,73.0
278,5,96,1.0,4,4,81.0
279,8,52,0.0,9,4,47.0
280,1,62,0.0,5,6,36.0
281,5,77,0.0,7,4,63.0
282,3,71,1.0,9,8,52.0
283,1,84,0.0,7,2,58.0
284,4,89,1.0,7,8,77.0
285,5,74,0.0,6,0,58.0
286,7,40,1.0,6,2,33.0
287,1,86,1.0,7,3,67.0
288,3,97,1.0,6,5,76.0
289,2,84,0.0,5,9,62.0
290,9,44,0.0,4,7,37.0
291,6,96,0.0,9,6,86.0
292,3,52,1.0,5,7,37.0
293,8,93,0.0,4,5,88.0
294,8,44,0.0,6,5,38.0
295,2,99,1.0,9,5,76.0
296,6,71,0.0,5,2,57.0
297,7,90,1.0,8,9,82.0
298,2,60,0.0,7,3,35.0
299,2,63,1.0,4,5,41.0
300,1,99,1.0,4,6,75.0
301,8,57,0.0,8,2,51.0
302,1,60,1.0,8,3,34.0
303,9,93,0.0,7,5,92.0
304,6,49,0.0,6,0,39.0
305,7,63,0.0,5,6,56.0
306,7,79,0.0,5,0,69.0
307,3,86,1.0,5,9,69.0
308,2,60,1.0,6,8,40.0
309,9,64,1.0,7,9,63.0
310,8,91,0.0,5,8,86.0
311,7,99,0.0,4,8,89.0
312,9,96,1.0,4,3,94.0
313,4,98,1.0,4,1,79.0
314,4,62,0.0,8,6,44.0
315,1,61,0.0,8,3,33.0
316,8,43,0.0,6,4,36.0
317,3,73,1.0,5,0,50.0
318,7,95,0.0,8,9,94.0
319,2,45,1.0,4,5,22.0
320,2,67,0.0,8,6,44.0
321,7,70,1.0,4,2,60.0
322,6,74,0.0,5,9,64.0
323,3,78,1.0,6,1,58.0
324,9,81,1.0,7,9,78.0
325,6,62,1.0,7,6,51.0
326,6,45,0.0,4,0,30.0
327,1,55,1.0,8,1,29.0
328,4,41,1.0,8,2,22.0
329,6,63,0.0,4,3,51.0
330,6,56,1.0,5,4,45.0
331,5,84,1.0,4,3,70.0
332,1,40,0.0,5,9,10.0
333,8,45,1.0,6,2,38.0
334,5,44,0.0,6,0,30.0
335,5,96,1.0,4,6,82.0
336,7,84,0.0,6,9,74.0
337,4,99,1.0,8,5,87.0
338,6,94,1.0,5,1,77.0
339,4,89,1.0,7,1,72.0
340,3,68,0.0,7,2,51.0
341,7,51,1.0,6,7,40.0
342,8,78,1.0,5,7,72.0
343,4,86,0.0,8,9,68.0
344,2,42,0.0,7,9,22.0
345,3,87,0.0,8,9,67.0
346,1,40,1.0,8,9,18.0
347,8,66,1.0,7,7,64.0
348,3,87,1.0,7,6,66.0
349,7,63,0.0,6,1,50.0
350,5,83,0.0,5,0,68.0
351,5,58,1.0,4,5,44.0
352,7,98,1.0,5,7,90.0
353,9,47,0.0,4,0,41.0
354,5,94,0.0,7,2,83.0
355,1,83,0.0,8,0,57.0
356,1,86,1.0,5,9,64.0
357,2,41,0.0,8,8,18.0
358,6,69,0.0,5,6,62.0
359,9,69,0.0,9,7,66.0
360,8,88,0.0,5,8,85.0
361,5,78,1.0,8,2,62.0
362,1,84,0.0,9,9,62.0
363,7,71,1.0,6,1,62.0
364,5,40,1.0,7,5,26.0
365,6,77,0.0,6,4,66.0
366,7,52,0.0,6,3,43.0
367,3,50,1.0,5,5,30.0
368,3,49,0.0,7,5,25.0
369,5,87,1.0,9,2,77.0
370,6,98,0.0,5,1,88.0
371,9,65,1.0,4,8,62.0
372,5,95,1.0,5,7,82.0
373,1,94,1.0,9,3,73.0
374,4,59,0.0,8,5,44.0
375,5,56,1.0,5,2,40.0
376,5,56,1.0,4,7,39.0
377,7,43,0.0,5,2,34.0
378,4,44,0.0,9,1,27.0
379,1,99,1.0,4,6,73.0
380,5,62,1.0,7,2,46.0
381,7,85,0.0,9,8,78.0
382,6,91,1.0,5,2,80.0
383,5,49,0.0,4,7,33.0
384,4,85,0.0,9,1,68.0
385,2,67,0.0,7,8,45.0
386,4,72,1.0,8,0,56.0
387,3,82,0.0,6,2,58.0
388,1,65,1.0,4,1,37.0
389,8,94,1.0,8,6,88.0
390,5,89,0.0,7,4,75.0
391,4,87,0.0,8,7,70.0
392,8,68,0.0,5,1,62.0
393,7,66,0.0,6,7,57.0
394,2,57,1.0,4,6,32.0
395,1,79,1.0,9,4,53.0
396,4,99,0.0,7,1,82.0
397,8,49,1.0,6,9,41.0
398,2,97,0.0,7,6,75.0
399,3,81,1.0,8,9,63.0
400,1,44,1.0,7,3,17.0
401,1,49,1.0,7,3,24.0
402,3,89,0.0,8,7,69.0
403,5,60,1.0,8,5,47.0
404,3,63,1.0,6,8,43.0
405,1,77,1.0,4,1,48.0
406,1,42,1.0,8,4,17.0
407,8,79,0.0,6,5,75.0
408,2,70,1.0,7,7,54.0
409,3,80,0.0,7,3,59.0
410,2,76,0.0,9,6,56.0
411,3,41,1.0,5,6,20.0
412,7,41,1.0,8,3,34.0
413,1,78,0.0,6,0,54.0
414,8,88,0.0,9,2,83.0
415,2,81,0.0,6,1,59.0
416,3,83,1.0,4,2,63.0
417,9,73,1.0,9,4,72.0
418,7,81,0.0,6,0,70.0
419,4,59,0.0,8,4,41.0
420,5,72,0.0,6,1,54.0
421,2,43,1.0,5,3,21.0
422,8,84,1.0,7,5,83.0
423,4,83,0.0,7,8,64.0
424,9,50,1.0,9,9,51.0
425,5,81,0.0,6,5,66.0
426,9,86,1.0,6,9,83.0
427,4,44,0.0,6,1,26.0
428,5,64,1.0,6,7,49.0
429,9,88,1.0,5,4,85.0
430,8,99,1.0,8,8,95.0
431,3,76,1.0,5,9,56.0
432,1,73,1.0,5,8,50.0
433,3,48,1.0,5,3,23.0
434,4,45,1.0,7,0,26.0
435,2,57,0.0,5,8,30.0
436,1,53,0.0,6,8,28.0
437,7,58,0.0,5,7,48.0
438,8,53,1.0,6,4,46.0
439,7,79,1.0,9,4,73.0
440,5,56,1.0,8,9,45.0
441,1,99,0.0,7,5,76.0
442,7,74,0.0,8,0,71.0
443,7,68,0.0,9,8,60.0
444,9,81,0.0,8,4,77.0
445,3,56,0.0,7,6,36.0
446,9,98,0.0,6,7,96.0
447,1,82,1.0,9,4,62.0
448,1,47,0.0,9,2,22.0
449,4,40,1.0,6,5,21.0
450,9,84,0.0,6,6,79.0
451,6,92,0.0,7,3,82.0
452,3,75,1.0,5,8,55.0
453,1,46,1.0,4,3,22.0
454,4,85,1.0,5,9,70.0
455,9,44,0.0,5,1,37.0
456,3,63,0.0,8,8,42.0
457,9,67,1.0,4,3,64.0
458,7,82,0.0,6,3,72.0
459,4,56,1.0,5,9,42.0
460,3,76,0.0,7,0,56.0
461,5,59,0.0,5,1,43.0
462,5,42,0.0,6,2,24.0
463,3,76,1.0,5,6,55.0
464,9,65,0.0,9,8,64.0
465,4,54,1.0,8,4,34.0
466,5,90,1.0,8,3,78.0
467,4,87,1.0,5,1,71.0
468,5,47,1.0,8,6,33.0
469,7,52,1.0,7,5,46.0
470,9,87,1.0,4,6,86.0
471,7,42,1.0,5,7,34.0
472,5,40,1.0,7,8,26.0
473,7,48,1.0,9,9,44.0
474,5,70,0.0,7,4,53.0
475,3,80,1.0,7,4,61.0
476,7,93,0.0,9,3,84.0
477,2,65,1.0,6,2,40.0
478,9,56,0.0,5,6,53.0
479,1,95,0.0,5,4,67.0
480,6,73,0.0,5,6,58.0
481,7,48,0.0,4,1,41.0
482,8,95,0.0,7,8,89.0
483,9,90,0.0,5,8,85.0
484,2,52,1.0,8,8,33.0
485,2,44,1.0,6,4,20.0
486,5,80,1.0,9,9,66.0
487,5,52,1.0,9,8,38.0
488,6,40,1.0,4,0,25.0
489,3,64,1.0,9,1,43.0
490,8,86,0.0,6,9,79.0
491,1,43,1.0,7,4,16.0
492,6,75,0.0,9,4,67.0
493,4,91,0.0,9,5,80.0
494,1,49,0.0,8,7,26.0
495,7,67,0.0,7,0,57.0
496,9,96,0.0,5,9,91.0
497,4,45,0.0,6,8,29.0
498,4,66,1.0,9,3,48.0
499,6,95,0.0,8,7,84.0
500,3,51,0.0,6,4,33.0
501,6,91,1.0,4,0,82.0
502,7,87,1.0,8,8,81.0
503,3,42,1.0,4,7,24.0
504,7,85,1.0,9,4,81.0
505,3,72,1.0,8,3,54.0
506,2,49,1.0,5,7,25.0
507,4,70,1.0,6,8,53.0
508,8,54,0.0,6,6,48.0
509,9,46,1.0,7,3,40.0
510,7,75,0.0,8,6,66.0
511,1,53,1.0,8,5,29.0
512,3,95,1.0,4,2,73.0
513,9,87,0.0,8,9,89.0
514,1,53,1.0,6,2,27.0
515,9,42,1.0,8,0,40.0
516,8,88,1.0,7,4,83.0
517,1,92,1.0,7,7,69.0
518,6,85,1.0,6,5,72.0
519,5,89,1.0,6,7,77.0
520,6,42,1.0,6,6,32.0
521,5,61,0.0,8,1,49.0
522,6,58,1.0,8,7,44.0
523,5,74,0.0,5,3,57.0
524,5,51,0.0,9,4,34.0
525,4,93,0.0,9,7,76.0
526,3,44,0.0,4,4,22.0
527,3,49,0.0,8,4,30.0
528,4,80,0.0,5,5,67.0
529,9,72,0.0,5,6,71.0
530,2,52,1.0,7,8,29.0
531,9,74,1.0,8,6,74.0
532,1,90,1.0,5,5,67.0
533,1,71,0.0,7,9,46.0
534,5,50,1.0,4,3,34.0
535,6,87,0.0,7,9,76.0
536,6,77,0.0,4,1,64.0
537,3,63,1.0,9,8,46.0
538,7,74,0.0,9,9,68.0
539,9,58,0.0,6,4,58.0
540,8,45,1.0,6,4,41.0
541,6,79,0.0,7,2,64.0
542,8,93,1.0,6,2,84.0
543,5,84,0.0,8,0,70.0
544,8,83,0.0,7,4,77.0
545,4,81,1.0,5,2,60.0
546,8,74,1.0,8,1,65.0
547,2,43,1.0,7,8,21.0
548,5,72,0.0,9,9,60.0
549,9,52,0.0,4,5,48.0
550,4,95,1.0,6,2,77.0
551,6,75,1.0,6,6,63.0
552,1,93,1.0,6,8,68.0
553,9,82,0.0,7,8,81.0
554,1,58,0.0,8,0,29.0
555,5,82,1.0,4,1,66.0
556,4,51,1.0,6,7,36.0
557,3,50,1.0,8,0,29.0
558,6,45,0.0,5,2,32.0
559,2,51,1.0,9,6,31.0
560,3,66,1.0,5,7,45.0
561,5,80,1.0,4,4,65.0
562,9,64,0.0,6,1,57.0
563,2,81,0.0,5,2,58.0
564,8,42,1.0,9,8,38.0
565,2,42,0.0,8,9,22.0
566,5,59,1.0,8,6,48.0
567,7,67,1.0,5,0,59.0
568,8,62,1.0,6,2,58.0
569,1,87,1.0,9,8,62.0
570,6,42,0.0,4,6,30.0
571,1,81,1.0,6,1,56.0
572,2,63,1.0,7,5,40.0
573,1,82,0.0,5,8,59.0
574,5,79,1.0,7,3,65.0
575,9,45,0.0,5,9,43.0
576,6,59,1.0,4,1,48.0
577,1,50,1.0,6,2,24.0
578,1,71,1.0,9,6,51.0
579,2,99,1.0,6,3,81.0
580,9,66,0.0,5,6,62.0
581,3,60,1.0,8,4,43.0
582,1,83,0.0,7,7,63.0
583,5,87,0.0,9,7,73.0
584,7,89,0.0,9,4,76.0
585,6,52,1.0,6,6,43.0
586,1,61,0.0,6,5,34.0
587,5,74,0.0,5,7,57.0
588,5,86,0.0,8,8,72.0
589,6,61,1.0,7,4,47.0
590,3,67,1.0,8,6,52.0
591,5,60,0.0,9,0,49.0
592,7,85,0.0,8,7,77.0
593,5,57,1.0,5,2,41.0
594,5,70,0.0,8,0,56.0
595,5,99,0.0,7,5,89.0
596,3,85,0.0,9,7,65.0
597,1,76,1.0,4,2,49.0
598,5,60,0.0,9,0,48.0
599,9,53,0.0,4,2,47.0
600,1,64,1.0,7,4,37.0
601,3,66,0.0,9,7,48.0
602,4,79,1.0,9,8,61.0
603,1,99,1.0,9,8,77.0
604,1,99,1.0,9,3,75.0
605,8,62,0.0,5,7,57.0
606,2,70,0.0,6,4,45.0
607,8,86,0.0,9,2,82.0
608,7,99,0.0,5,4,90.0
609,2,68,0.0,7,1,42.0
610,6,86,0.0,9,5,74.0
611,6,69,0.0,8,0,60.0
612,3,90,0.0,9,5,73.0
613,2,65,1.0,9,4,40.0
614,1,59,0.0,4,8,32.0
615,6,77,0.0,8,6,67.0
616,5,58,1.0,9,5,46.0
617,9,66,0.0,9,6,65.0
618,1,64,1.0,9,9,42.0
619,7,79,0.0,5,4,69.0
620,5,77,0.0,7,0,62.0
621,5,91,1.0,4,8,75.0
622,2,62,1.0,9,4,40.0
623,3,68,0.0,7,3,43.0
624,7,54,1.0,4,5,42.0
625,6,98,0.0,4,4,84.0
626,2,42,0.0,4,0,15.0
627,6,49,0.0,9,1,39.0
628,2,54,0.0,5,3,26.0
629,2,95,0.0,9,7,73.0
630,2,55,0.0,9,4,34.0
631,3,56,1.0,7,6,34.0
632,2,58,1.0,6,1,37.0
633,4,50,1.0,6,7,34.0
634,9,87,0.0,6,4,85.0
635,6,44,1.0,7,3,31.0
636,1,44,0.0,8,8,18.0
637,8,97,1.0,7,5,92.0
638,7,53,0.0,4,3,44.0
639,3,89,0.0,9,7,72.0
640,1,65,0.0,8,2,40.0
641,5,47,0.0,4,9,31.0
642,4,44,0.0,9,1,25.0
643,8,46,1.0,9,6,44.0
644,1,55,0.0,4,3,27.0
645,1,94,1.0,7,3,66.0
646,4,53,0.0,6,9,34.0
647,8,76,0.0,8,8,70.0
648,5,95,0.0,9,1,81.0
649,2,80,1.0,5,0,56.0
650,6,43,0.0,9,6,30.0
651,5,75,1.0,6,7,60.0
652,2,87,0.0,9,2,64.0
653,3,95,1.0,5,1,74.0
654,9,56,1.0,7,3,52.0
655,7,86,1.0,9,1,84.0
656,7,75,0.0,8,1,66.0
657,6,45,0.0,7,4,32.0
658,8,55,1.0,5,9,47.0
659,4,68,0.0,4,4,51.0
660,8,75,0.0,9,7,67.0
661,4,77,0.0,7,8,57.0
662,8,76,1.0,9,1,71.0
663,9,87,1.0,8,0,86.0
664,3,96,0.0,9,2,77.0
665,3,87,1.0,7,5,72.0
666,2,49,0.0,6,4,24.0
667,3,80,0.0,7,7,60.0
668,3,75,1.0,5,7,55.0
669,5,68,1.0,7,1,54.0
670,5,53,0.0,8,8,39.0
671,2,43,0.0,7,3,19.0
672,6,83,0.0,7,0,68.0
673,5,95,1.0,8,1,83.0
674,6,81,1.0,7,5,72.0
675,1,75,0.0,8,4,49.0
676,5,89,0.0,5,6,74.0
677,9,84,1.0,8,8,86.0
678,2,52,0.0,5,5,26.0
679,1,85,1.0,5,5,60.0
680,9,57,1.0,8,1,54.0
681,9,72,0.0,7,6,73.0
682,9,60,0.0,9,1,61.0
683,6,55,1.0,6,6,45.0
684,8,54,0.0,9,7,57.0
685,1,93,1.0,8,0,68.0
686,4,96,1.0,7,8,72.0
687,1,44,1.0,5,7,17.0
688,8,45,0.0,4,8,37.0
689,1,77,0.0,6,4,54.0
690,3,42,0.0,9,3,22.0
691,4,87,1.0,7,0,73.0
692,8,51,1.0,6,8,47.0
693,6,75,1.0,4,3,63.0
694,7,72,1.0,4,3,63.0
695,8,75,0.0,4,3,68.0
696,2,72,0.0,9,1,52.0
697,8,70,0.0,8,3,64.0
698,3,60,1.0,6,1,38.0
699,7,66,1.0,8,7,60.0
700,3,66,0.0,4,6,45.0
701,7,47,1.0,7,9,39.0
702,2,95,0.0,4,1,75.0
703,6,76,1.0,8,1,67.0
704,3,71,1.0,4,1,48.0
705,3,65,1.0,4,0,44.0
706,9,41,1.0,8,5,37.0
707,7,51,1.0,8,5,41.0
708,5,61,0.0,7,0,47.0
709,7,56,0.0,8,0,45.0
710,9,46,0.0,7,5,43.0
711,1,82,1.0,5,5,54.0
712,7,43,0.0,5,3,32.0
713,6,76,0.0,8,2,64.0
714,9,77,1.0,4,8,74.0
715,1,71,1.0,6,5,50.0
716,4,50,0.0,4,0,33.0
717,9,40,0.0,8,2,36.0
718,4,64,0.0,7,0,45.0
719,3,81,0.0,4,2,58.0
720,9,91,0.0,5,1,85.0
721,2,63,1.0,9,4,41.0
722,4,92,0.0,8,2,78.0
723,6,82,0.0,4,6,63.0
724,2,95,0.0,9,7,76.0
725,8,56,0.0,4,6,51.0
726,8,47,0.0,7,1,36.0
727,1,98,0.0,7,9,74.0
728,3,84,1.0,7,9,65.0
729,9,66,1.0,9,6,65.0
730,5,91,1.0,6,9,79.0
731,6,57,0.0,9,2,46.0
732,4,66,0.0,8,6,47.0
733,2,61,1.0,8,0,42.0
734,8,55,0.0,5,1,46.0
735,6,41,0.0,5,9,34.0
736,5,44,0.0,8,0,27.0
737,9,57,1.0,4,8,52.0
738,1,42,1.0,8,1,17.0
739,5,66,1.0,6,1,53.0
740,6,93,0.0,5,5,84.0
741,5,56,1.0,5,6,39.0
742,6,55,1.0,9,1,44.0
743,6,45,1.0,5,3,36.0
744,7,90,0.0,8,2,81.0
745,4,46,1.0,5,4,30.0
746,8,89,1.0,5,8,80.0
747,7,53,0.0,9,1,41.0
748,9,77,1.0,8,4,77.0
749,7,79,0.0,4,7,69.0
750,3,54,0.0,5,5,34.0
751,3,86,1.0,5,3,64.0
752,8,86,1.0,5,9,78.0
753,5,87,1.0,6,7,74.0
754,4,72,0.0,8,2,52.0
755,8,82,1.0,5,3,76.0
756,6,66,1.0,6,8,53.0
757,2,68,1.0,4,4,46.0
758,4,96,0.0,4,5,77.0
759,4,76,0.0,9,1,59.0
760,6,44,0.0,9,8,35.0
761,6,68,1.0,9,7,61.0
762,1,71,1.0,6,6,46.0
763,8,99,0.0,4,8,97.0
764,6,92,1.0,9,4,86.0
765,3,45,1.0,7,4,24.0
766,9,41,0.0,9,8,37.0
767,2,45,0.0,4,4,18.0
768,8,85,0.0,7,8,84.0
769,3,82,1.0,6,0,59.0
770,5,43,1.0,7,9,29.0
771,6,95,1.0,4,9,84.0
